is_self_employed,organization_size,is_tech_company,is_mh_benefits_provided,is_aware_mh_care_available,is_mh_discussed_by_employer,is_mh_resources_provided_by_employer,is_anonymity_protected,how_is_asking_for_medical_leave_due_to_mhi,is_discussing_mhd_with_employer_have_negative_consequences,is_discussing_phd_with_employer_have_negative_consequences,is_willing_to_discuss_mhi_with_colleagues,is_willing_to_discuss_mhi_with_direct_supervisor,is_employer_takes_mh_seriously,is_aware_of_previous_negative_consequence_of_colleagues_with_mhi,is_previously_employed,is_previous_employer_provides_mh_benefits,is_aware_mh_options_by_previous_employer,is_mh_discussed_by_previous_employer,is_mh_resources_provided_by_previous_employer,is_anonymity_protected_by_previous_employer,is_discussing_mhd_with_previous_employer_have_negative_consequences,is_discussing_phd_with_previous_employer_have_negative_consequences,is_willing_to_discuss_mhi_with_previous_colleagues,is_willing_to_discuss_mhi_with_previous_direct_supervisor,is_previous_employer_takes_mh_seriously,is_aware_of_previous_negative_consequence_of_colleagues_with_mhi_in_previous_workplace,is_willing_to_bring_phi_in_interview,why_or_why_not_bring_phi_in_interview,is_willing_to_bring_mhi_in_interview,why_or_why_not_bring_mhi_in_interview,is_being_identified_with_mhi_would_hurt_your_career,is_being_identified_with_mhi_would_lower_your_status_among_colleagues,is_wiling_to_share_about_mhi,previously_observed_experienced_response_to_mhi,family_history_of_mhi,previous_history_of_mhi,is_having_mhd,diagnosed_by_professional,is_sought_treatment_for_mhi,is_mhi_interferes_with_your_work_when_treated_effectively,is_mhi_does_not_interfere_with_your_work_when_treated_effectively,age,gender,country_of_residency,country_of_work,role_description,is_remote
0,100-500,0,Yes,I am not sure,Yes,I don't know,I don't know,I don't know,Maybe,No,Yes,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Performance-related Concerns,Maybe,Bias and Discrimination,Maybe,"Yes, I think they would",Somewhat open,No,I don't know,No,No,Yes,1,Never,Rarely,30s,Male,United States of America,United States of America,IT,Sometimes
0,100-500,1,No,Yes,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,No,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Bias and Discrimination,No,Bias and Discrimination,"Yes, it has","Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,30s,Male,United States of America,United States of America,IT,Sometimes
0,100-500,1,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Performance-related Concerns,No,Transparency and Integrity,Maybe,Maybe,Somewhat open,No,Yes,Maybe,Maybe,No,1,Not applicable to me,Rarely,20s,Male,United States of America,United States of America,IT,Sometimes
0,1-5,1,Not eligible for coverage / N/A,No,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,Low hiring chances,No,Negative impact on the outcome,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,United Kingdom,United Kingdom,IT,Never
0,More than 1000,1,Yes,Yes,No,No,Yes,Very easy,Yes,No,No,No,No,Yes,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,"Yes, all of them",No,Bias and Discrimination,No,Bias and Discrimination,"Yes, it has","Yes, I think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Often,Often,30s,Female,United States of America,United States of America,IT,Sometimes
0,More than 1000,0,Yes,I am not sure,No,No,I don't know,Neither easy nor difficult,No,Maybe,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,Low hiring chances,Maybe,Performance-related Concerns,"Yes, I think it would",Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,Before 20s,Female,United States of America,United States of America,IT,Never
0,6-25,1,No,No,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,Low hiring chances,Yes,Low hiring chances,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Other,Other,Design,Sometimes
0,6-25,1,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Transparency and Integrity,Yes,Transparency and Integrity,"No, I don't think it would","No, I don't think they would",Very open,No,Yes,Yes,Maybe,Yes,1,Not applicable to me,Not applicable to me,30s,Other,United States of America,United States of America,Other,Always
0,More than 1000,1,I don't know,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Performance-related Concerns,Maybe,Performance-related Concerns,"No, I don't think it would",Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,United States of America,United States of America,IT,Sometimes
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Privacy and Personal Concerns,No,Other,"No, I don't think it would","No, they do not",Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Other,Other,Management,Always
0,100-500,1,Yes,No,I don't know,I don't know,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,1,Some did,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,Performance-related Concerns,Maybe,Ineffective Disclosure,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,IT,Sometimes
0,6-25,1,No,No,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Other,No,Other,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Other,Other,IT,Sometimes
0,6-25,1,No,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,No,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,Low hiring chances,No,Low hiring chances,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,Yes,No,Yes,1,Never,Sometimes,40s,Female,United Kingdom,United Kingdom,IT,Never
0,More than 1000,1,No,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,None did,None of them,Maybe,Bias and Discrimination,Maybe,Bias and Discrimination,Maybe,Maybe,Somewhat not open,No,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,40s,Male,Germany,Germany,Other,Never
0,26-100,1,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Bias and Discrimination,Maybe,Bias and Discrimination,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,Yes,No,Yes,1,Never,Often,20s,Male,United Kingdom,United Kingdom,IT,Sometimes
0,100-500,1,I don't know,No,I don't know,I don't know,I don't know,Somewhat difficult,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Bias and Discrimination,No,Bias and Discrimination,Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,Yes,Maybe,No,No,1,Not applicable to me,Often,40s,Male,United States of America,United States of America,IT,Sometimes
0,6-25,1,No,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,No,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Low hiring chances,No,Low hiring chances,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,United States of America,United States of America,Management,Sometimes
0,26-100,1,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Bias and Discrimination,No,Bias and Discrimination,"No, I don't think it would","No, I don't think they would",Somewhat open,No,I don't know,Yes,Yes,Yes,1,Rarely,Often,30s,Female,United States of America,United States of America,IT,Sometimes
0,More than 1000,1,Yes,No,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Maybe,Low hiring chances,Maybe,Low hiring chances,"No, I don't think it would","No, I don't think they would",Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,United States of America,United States of America,IT,Never
0,More than 1000,0,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,Maybe,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Transparency and Integrity,Maybe,Bias and Discrimination,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,United States of America,United States of America,IT,Never
0,100-500,0,Yes,Yes,Yes,I don't know,I don't know,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Bias and Discrimination,No,Uncertainty about Employer Reaction,Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,30s,Female,United States of America,United States of America,IT,Sometimes
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),"Yes, they all did","Yes, they all did","Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,Bias and Discrimination,Maybe,Bias and Discrimination,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Maybe,No,No,1,Not applicable to me,Not applicable to me,40s,Male,Other,Other,IT,Sometimes
0,6-25,1,Yes,No,No,I don't know,I don't know,I don't know,Yes,No,No,No,No,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",I don't know,None of them,"No, at none of my previous employers",I don't know,Some did,Some of them,Maybe,Transparency and Integrity,No,Bias and Discrimination,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Rarely,Often,40s,Male,United States of America,United States of America,Advocacy,Always
0,6-25,0,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Low hiring chances,Maybe,Other,Maybe,"Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,20s,Female,United States of America,United States of America,Management,Sometimes
0,100-500,1,Yes,Yes,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Privacy and Personal Concerns,Maybe,Privacy and Personal Concerns,"Yes, it has",Maybe,Somewhat open,"Yes, I experienced",I don't know,Maybe,Maybe,No,0,Rarely,Often,30s,Male,United States of America,United States of America,IT,Sometimes
0,26-100,1,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,1,Some did,"No, I only became aware later",Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Maybe,Low hiring chances,Maybe,Uncertainty about Employer Reaction,Maybe,"Yes, I think they would",Somewhat open,"Yes, I experienced",I don't know,Maybe,Maybe,No,0,Not applicable to me,Rarely,30s,Male,United Kingdom,United Kingdom,Management,Never
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always","Yes, all of them",None of them,Some of my previous employers,I don't know,Some did,Some of them,No,Low hiring chances,No,Low hiring chances,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,30s,Male,United States of America,United States of America,Other,Sometimes
0,6-25,1,Not eligible for coverage / N/A,Yes,No,No,No,Somewhat difficult,Yes,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Negative impact on the outcome,No,Negative impact on the outcome,"Yes, I think it would","Yes, I think they would",Very open,No,Yes,Yes,Maybe,Yes,1,Not applicable to me,Not applicable to me,20s,Male,Other,Other,IT,Never
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,Maybe,Privacy and Personal Concerns,Maybe,Privacy and Personal Concerns,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,40s,Male,United States of America,United States of America,Management,Sometimes
0,More than 1000,1,Not eligible for coverage / N/A,I am not sure,I don't know,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,I don't know,Yes,1,"No, none did","Yes, I was aware of all of them","Yes, they all did",Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Bias and Discrimination,No,Negative impact on the outcome,Maybe,Maybe,Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,20s,Male,Australia,Australia,IT,Sometimes
0,6-25,1,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,Some of them,Yes,Transparency and Integrity,Maybe,Uncertainty about Employer Reaction,Maybe,"No, I don't think they would",Neutral,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,20s,Male,United States of America,United States of America,Management,Never
0,26-100,1,Yes,Yes,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,1,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Yes,Bias and Discrimination,No,Bias and Discrimination,Maybe,Maybe,Somewhat open,No,No,Yes,Yes,Yes,1,Sometimes,Sometimes,30s,Male,United States of America,United States of America,IT,Sometimes
0,26-100,1,No,No,No,No,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Performance-related Concerns,Maybe,Performance-related Concerns,Maybe,Maybe,Very open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,30s,Male,Australia,Australia,Management,Sometimes
0,500-1000,0,Yes,Yes,I don't know,I don't know,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,Yes,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,"Yes, all of them",Maybe,Bias and Discrimination,No,Bias and Discrimination,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,40s,Male,Australia,Australia,Management,Sometimes
0,More than 1000,1,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Bias and Discrimination,No,Low hiring chances,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,1,Sometimes,Often,20s,Male,United States of America,United States of America,IT,Never
0,100-500,1,I don't know,I am not sure,No,I don't know,No,Somewhat easy,Maybe,No,Maybe,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Bias and Discrimination,Maybe,Low hiring chances,Maybe,Maybe,Somewhat open,"Yes, I experienced",I don't know,Yes,Yes,Yes,1,Rarely,Often,30s,Male,Other,Other,IT,Sometimes
0,More than 1000,1,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,I don't know,"Yes, all of them","Yes, at all of my previous employers",Some of my previous employers,None did,None of them,Yes,Transparency and Integrity,Yes,Bias and Discrimination,Maybe,"No, I don't think they would",Somewhat open,No,Yes,No,No,No,1,Rarely,Often,30s,Male,Other,Other,IT,Always
0,More than 1000,0,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,No,No,Yes,Maybe,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Low hiring chances,No,Privacy and Personal Concerns,"No, I don't think it would","No, I don't think they would",Very open,No,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,Above 50s,Female,United States of America,United States of America,IT,Never
0,26-100,0,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Bias and Discrimination,Maybe,Bias and Discrimination,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Often,30s,Male,United States of America,United States of America,IT,Sometimes
0,26-100,1,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Transparency and Integrity,Yes,Transparency and Integrity,Maybe,"No, I don't think they would",Somewhat open,No,I don't know,No,Maybe,No,0,Never,Never,30s,Male,United States of America,United States of America,Support,Always
0,More than 1000,1,Yes,Yes,I don't know,I don't know,I don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,Low hiring chances,No,Negative impact on the outcome,Maybe,Maybe,Neutral,No,No,No,No,No,1,Rarely,Sometimes,30s,Male,United States of America,United States of America,Management,Sometimes
0,6-25,1,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Performance-related Concerns,No,Bias and Discrimination,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Yes,Maybe,Yes,1,Rarely,Rarely,20s,Male,United States of America,United States of America,IT,Sometimes
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Bias and Discrimination,Maybe,Bias and Discrimination,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Sometimes,Often,40s,Female,United States of America,United States of America,One-person shop,Always
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,None did,Some did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,I don't know,None of them,No,Low hiring chances,No,Low hiring chances,"Yes, I think it would",Maybe,Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Often,Often,40s,Male,Other,United States of America,IT,Sometimes
0,26-100,1,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Bias and Discrimination,Maybe,Privacy and Personal Concerns,"No, I don't think it would",Maybe,Somewhat not open,No,No,Yes,Yes,Yes,1,Sometimes,Sometimes,20s,Male,Other,Other,Other,Never
0,26-100,0,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,No,Bias and Discrimination,No,Bias and Discrimination,"Yes, I think it would",Maybe,Neutral,No,I don't know,No,No,No,1,Not applicable to me,Not applicable to me,30s,Male,Germany,Germany,IT,Never
0,26-100,0,I don't know,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Performance-related Concerns,Maybe,Bias and Discrimination,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,Other,Other,Support,Sometimes
0,26-100,0,Not eligible for coverage / N/A,No,No,No,No,Very easy,No,No,Maybe,Maybe,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Bias and Discrimination,Yes,Bias and Discrimination,Maybe,"No, I don't think they would",Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,Australia,Australia,One-person shop,Sometimes
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Bias and Discrimination,Maybe,Uncertainty about Employer Reaction,"Yes, I think it would",Maybe,Neutral,No,Yes,Maybe,Yes,Yes,1,Often,Often,20s,Male,Netherlands,Netherlands,One-person shop,Sometimes
0,1-5,1,Yes,Yes,Yes,No,No,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Transparency and Integrity,Yes,Transparency and Integrity,"No, it has not","No, they do not",Very open,No,Yes,Maybe,Maybe,No,1,Not applicable to me,Not applicable to me,40s,Male,United States of America,United States of America,Advocacy,Always
0,26-100,1,No,No,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,Performance-related Concerns,No,Privacy and Personal Concerns,"Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,20s,Male,United Kingdom,United Kingdom,IT,Sometimes
0,500-1000,1,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,No,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Low hiring chances,Maybe,Low hiring chances,Maybe,Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,40s,Male,Canada,Canada,Advocacy,Always
0,More than 1000,1,Yes,I am not sure,No,Yes,I don't know,Very easy,Maybe,Maybe,No,No,I don't know,No,1,"Yes, they all did","No, I only became aware later",I don't know,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Low hiring chances,No,Low hiring chances,"Yes, it has","No, I don't think they would",Not open at all,No,Yes,Yes,Maybe,Yes,1,Rarely,Rarely,30s,Female,United States of America,United States of America,Advocacy,Always
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,"Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Transparency and Integrity,No,Bias and Discrimination,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Maybe,Maybe,Yes,1,Never,Rarely,30s,Male,United States of America,United States of America,IT,Always
1,26-100,1,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Bias and Discrimination,No,Bias and Discrimination,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No,Maybe,Maybe,Yes,1,Not applicable to me,Not applicable to me,40s,Male,United States of America,United States of America,One-person shop,Always
0,6-25,1,Yes,Yes,No,No,Yes,Very easy,Maybe,No,No,No,No,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Low hiring chances,No,Low hiring chances,"Yes, I think it would",Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,20s,Male,United States of America,United States of America,IT,Never
0,100-500,1,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Maybe,I don't know,No,1,Some did,"No, I only became aware later",Some did,None did,No,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,"Yes, all of them",Maybe,Bias and Discrimination,No,Privacy and Personal Concerns,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Often,30s,Female,United States of America,United States of America,Advocacy,Sometimes
0,500-1000,0,Not eligible for coverage / N/A,No,Yes,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,Bias and Discrimination,No,Bias and Discrimination,Maybe,"No, I don't think they would",Somewhat open,No,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,30s,Male,United Kingdom,United Kingdom,IT,Never
